"netflix_10177","imdb_65708","0.9800000000000002"
"netflix_14535","imdb_62004","0.9"
"netflix_4102","imdb_80305","1.0"
"netflix_8196","imdb_72329","0.9"
"netflix_15070","imdb_21430","1.0"
"netflix_13773","imdb_60025","0.9"
"netflix_13640","imdb_45150","0.78"
"netflix_13337","imdb_44829","1.0"
"netflix_2142","imdb_53443","1.0"
"netflix_9925","imdb_60486","1.0"
"netflix_5434","imdb_81477","1.0"
"netflix_5301","imdb_70574","1.0"
"netflix_9395","imdb_76101","1.0"
"netflix_1606","imdb_45054","1.0"
"netflix_1739","imdb_78151","1.0"
"netflix_10481","imdb_77573","0.8"
"netflix_14667","imdb_46571","1.0"
"netflix_10176","imdb_68448","1.0"
"netflix_12006","imdb_63980","1.0"
"netflix_4234","imdb_54979","1.0"
"netflix_8858","imdb_79293","1.0"
"netflix_8725","imdb_78820","1.0"
"netflix_15071","imdb_52791","1.0"
"netflix_5302","imdb_54373","0.9"
"netflix_9396","imdb_78428","1.0"
"netflix_597","imdb_57627","0.8"
"netflix_1607","imdb_51139","1.0"
"netflix_464","imdb_70576","1.0"
"netflix_5568","imdb_82738","0.9"
"netflix_5435","imdb_77971","1.0"
"netflix_14537","imdb_60412","0.8541666666666667"
"netflix_12007","imdb_62630","0.9"
"netflix_14840","imdb_31364","1.0"
"netflix_3471","imdb_59399","0.8400000000000001"
"netflix_4499","imdb_65406","0.9733333333333334"
"netflix_11680","imdb_61261","0.705714285714286"
"netflix_13642","imdb_25717","1.0"
"netflix_13775","imdb_29893","0.9"
"netflix_5569","imdb_67163","0.9142857142857143"
"netflix_10174","imdb_72946","0.9750000000000001"
"netflix_14403","imdb_45952","1.0"
"netflix_12577","imdb_62582","0.9"
"netflix_8197","imdb_62724","1.0"
"netflix_13641","imdb_67445","1.0"
"netflix_11246","imdb_65690","1.0"
"netflix_9394","imdb_73884","1.0"
"netflix_10484","imdb_72403","1.0"
"netflix_460","imdb_66779","1.0"
"netflix_14975","imdb_56341","1.0"
"netflix_12578","imdb_59316","0.9"
"netflix_3344","imdb_68156","0.9"
"netflix_8419","imdb_69490","1.0"
"netflix_12312","imdb_69775","1.0"
"netflix_4542","imdb_83504","0.9"
"netflix_6894","imdb_65829","1.0"
"netflix_8855","imdb_75947","1.0"
"netflix_8722","imdb_78287","0.9"
"netflix_14406","imdb_60372","1.0"
"netflix_14539","imdb_62204","0.9"
"netflix_2146","imdb_84662","1.0"
"netflix_9921","imdb_74742","0.9"
"netflix_13777","imdb_58539","1.0"
"netflix_11247","imdb_61196","0.9"
"netflix_3211","imdb_66385","1.0"
"netflix_5696","imdb_78166","0.9692307692307692"
"netflix_10172","imdb_67932","1.0"
"netflix_461","imdb_78409","0.9"
"netflix_15075","imdb_36951","1.0"
"netflix_3476","imdb_63005","1.0"
"netflix_12446","imdb_38748","1.0"
"netflix_8418","imdb_57680","1.0"
"netflix_6326","imdb_81793","0.9"
"netflix_9619","imdb_77822","0.9111111111111111"
